시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 삼척시 정상동,457-1,457,1,청솔1차,59.85,202201,13,"9,200",15,2002,청석로 64,,중개거래,강원 삼척시
강원도 삼척시 정상동,473,473,0,현진에버빌,64.564,202201,3,"15,000",3,2005,정상로 35,,직거래,-
강원도 속초시 교동,783,783,0,대명늘푸른,59.9584,202201,5,"16,100",8,2000,미시령로3337번길 7,,중개거래,강원 속초시
강원도 속초시 교동,800-14,800,14,럭키,64.365,202201,10,"16,500",2,1986,만리공원길 6,,중개거래,강원 속초시
강원도 속초시 교동,923,923,0,삼환,54.58,202201,4,"13,970",5,1994,밤골3길 39,,중개거래,강원 속초시
강원도 속초시 교동,628-1,628,1,서울대명1,84.9,202201,10,"15,900",10,1991,번영로43번길 11,,중개거래,강원 속초시
강원도 속초시 교동,984,984,0,석미모닝파크,73.1,202201,8,"23,000",3,2005,수복로 12,,중개거래,강원 속초시
강원도 속초시 교동,898,898,0,주공2,39.3,202201,5,"17,200",3,1990,번영로43번길 52,,중개거래,강원 속초시
강원도 속초시 교동,961-1,961,1,주공3,51.66,202201,7,"14,000",11,1993,먹거리길 17,,중개거래,강원 속초시
강원도 속초시 교동,961-1,961,1,주공3,41.85,202201,11,"7,000",3,1993,먹거리길 17,,직거래,-
강원도 속초시 교동,961,961,0,청초대우,84.97,202201,3,"18,700",1,1998,동해대로 4271,,중개거래,강원 속초시
강원도 속초시 교동,961,961,0,청초대우,59.946,202201,7,"17,400",10,1998,동해대로 4271,20220111,중개거래,강원 속초시
강원도 속초시 교동,620,620,0,협성,28.07,202201,7,"4,800",5,1997,미시령로3359번길 42,,중개거래,강원 속초시
강원도 속초시 금호동,627,627,0,속초e-편한세상,84.975,202201,3,"33,500",10,2006,미시령로 3439,,중개거래,강원 속초시
강원도 속초시 동명동,512,512,0,대명영랑호,84.9,202201,11,"21,000",3,1997,영랑호반길 103,,직거래,-
강원도 속초시 조양동,1571,1571,0,ES아뜨리움,59.8768,202201,10,"25,500",10,2017,조양로 40,,중개거래,강원 속초시
강원도 속초시 조양동,579,579,0,대명타워,59.93,202201,11,"17,200",10,1996,청대로232번길 15-19,,중개거래,강원 속초시
강원도 속초시 조양동,1540-1,1540,1,부영2,49.92,202201,8,"14,000",14,1998,조양로142번길 6,,중개거래,강원 속초시
강원도 속초시 조양동,1499,1499,0,부영3,59.905,202201,11,"19,300",10,1996,소평로 162,,중개거래,강원 속초시
강원도 속초시 조양동,1501,1501,0,부영5,50,202201,5,"15,400",9,1995,청대로204번길 40,,중개거래,강원 속초시
강원도 속초시 조양동,1294-23,1294,23,성호,49.65,202201,4,"9,950",1,2001,청대로 22-7,,직거래,-
강원도 속초시 조양동,1572,1572,0,속초KCC스위첸,84.9762,202201,8,"44,000",23,2019,청대로 40,,중개거래,강원 속초시
강원도 속초시 조양동,1569,1569,0,속초조양양우내안애아파트,59.7891,202201,5,"25,000",11,2015,온정로1길 30,,중개거래,강원 속초시
강원도 속초시 조양동,1217-1,1217,1,조양1주공,59.99,202201,5,"14,000",4,1998,온정로 6,,중개거래,강원 속초시
강원도 속초시 조양동,1582,1582,0,효성해링턴플레이스,59.98,202201,3,"33,000",5,2019,청대로 210,,중개거래,강원 속초시
강원도 속초시 청호동,1356,1356,0,속초청호아이파크,84.94,202201,7,"43,800",6,2018,청호로 22,,중개거래,강원 속초시
강원도 속초시 청호동,1356,1356,0,속초청호아이파크,84.94,202201,12,"49,300",26,2018,청호로 22,,중개거래,강원 속초시
강원도 양양군 손양면 하왕도리,303,303,0,삼호,49.14,202201,8,"8,700",6,1998,손중로 211-8,,중개거래,강원 양양군
강원도 양양군 양양읍 서문리,419,419,0,양양코아루,73.8029,202201,11,"23,000",18,2016,임천1길 26-3,,중개거래,강원 양양군
강원도 양양군 양양읍 성내리,72,72,0,정아2,59.88,202201,6,"10,000",6,1995,북문길 39,,중개거래,강원 속초시
강원도 양양군 양양읍 연창리,358,358,0,양우내안애,83.5201,202201,8,"22,500",2,2018,미륵길 40,,중개거래,강원 양양군
강원도 양양군 양양읍 월리,449-1,449,1,명지푸르미,84.7407,202201,3,"13,800",12,2002,남대천로 99-14,,중개거래,강원 양양군
강원도 양양군 양양읍 월리,449-1,449,1,명지푸르미,31.5408,202201,6,"5,200",9,2002,남대천로 99-14,,중개거래,강원 양양군
강원도 양양군 양양읍 월리,449-1,449,1,명지푸르미,31.5408,202201,9,"5,300",13,2002,남대천로 99-14,,중개거래,강원 양양군
강원도 양양군 양양읍 월리,449-1,449,1,명지푸르미,59.449,202201,10,"10,000",10,2002,남대천로 99-14,,중개거래,강원 양양군
강원도 양양군 현북면 기사문리,145,145,0,TM힐,30.2226,202201,11,"11,300",14,2003,동해대로 1269-17,,중개거래,강원 양양군
강원도 양양군 현북면 중광정리,176-1,176,1,심미,48.3066,202201,6,"18,000",14,2001,동해대로 1611-7,,중개거래,강원 양양군
강원도 원주시 관설동,1713-1,1713,1,청솔6차,59.85,202201,8,"11,700",4,2002,단관초교길 9,,중개거래,강원 원주시
강원도 원주시 관설동,1713-1,1713,1,청솔6차,59.85,202201,14,"14,000",14,2002,단관초교길 9,,중개거래,강원 원주시
강원도 원주시 단계동,806,806,0,단계은행,39.6,202201,4,"6,200",2,1994,원문로 175,,중개거래,강원 원주시
강원도 원주시 단계동,1165,1165,0,단계이안2단지,84.93,202201,3,"21,600",2,2007,모란1길 52,,중개거래,강원 원주시
강원도 원주시 단계동,111-47,111,47,동보렉스4,49.58,202201,7,"7,600",3,1991,원문로 160,,중개거래,강원 원주시
강원도 원주시 단계동,809,809,0,벽산,95.27,202201,3,"14,800",12,1993,백간길 80,,직거래,-
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,3,"13,500",8,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,3,"9,000",7,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,5,"13,800",13,1996,백간길 63,20220114,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,5,"13,800",13,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,7,"13,700",11,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,7,"8,700",2,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,8,"12,500",15,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,807-1,807,1,세경3차,59.76,202201,11,"8,500",12,1996,백간길 63,,중개거래,강원 원주시
강원도 원주시 단계동,1218,1218,0,원주봉화산벨라시티2차아파트,59.9933,202201,9,"31,000",17,2018,백간길 17-1,,중개거래,강원 원주시
강원도 원주시 단계동,806-1,806,1,현진,84.74,202201,9,"15,500",6,1993,봉화로 122,,중개거래,강원 원주시
강원도 원주시 단구동,1589-1,1589,1,구곡2현대,84.99,202201,11,"17,300",5,1998,늘품로 16,,중개거래,강원 원주시
강원도 원주시 단구동,186-11,186,11,선아,76.145,202201,3,"6,900",5,1980,치악로 1650,,중개거래,강원 원주시
강원도 원주시 단구동,1478-4,1478,4,유승,84.4687,202201,6,"20,900",2,2003,강변로 119,,중개거래,강원 원주시
강원도 원주시 단구동,1702,1702,0,중앙하이츠아파트,133.8208,202201,10,"26,500",5,2008,단관공원길 111,,중개거래,강원 원주시
강원도 원주시 단구동,1588-4,1588,4,청솔2차,58.65,202201,7,"11,800",8,2000,단구로 408,,중개거래,강원 원주시
강원도 원주시 단구동,1588-4,1588,4,청솔2차,58.65,202201,8,"11,100",14,2000,단구로 408,,중개거래,강원 원주시
강원도 원주시 단구동,1588-4,1588,4,청솔2차,58.65,202201,13,"10,400",15,2000,단구로 408,,중개거래,강원 원주시
강원도 원주시 단구동,1684-1,1684,1,청솔4차,58.65,202201,5,"10,600",1,2001,단구로 416,,중개거래,강원 원주시
강원도 원주시 단구동,1517-3,1517,3,청솔7차,59.85,202201,3,"12,900",14,2002,남원로 494,,중개거래,강원 원주시
강원도 원주시 단구동,1517-3,1517,3,청솔7차,59.85,202201,7,"12,500",6,2002,남원로 494,,중개거래,강원 원주시
강원도 원주시 단구동,1517-3,1517,3,청솔7차,59.85,202201,10,"11,100",4,2002,남원로 494,,중개거래,강원 원주시
강원도 원주시 단구동,587-1,587,1,해청,84.6,202201,6,"13,800",13,1991,늘품로 120,,중개거래,강원 원주시
강원도 원주시 단구동,1517-4,1517,4,현대1,59.84,202201,8,"16,750",7,1997,남원로 492,,중개거래,강원 원주시
강원도 원주시 단구동,1588-1,1588,1,현진에버빌2,59.761,202201,7,"17,500",8,2002,늘품로 38,,중개거래,강원 원주시
강원도 원주시 단구동,1588-1,1588,1,현진에버빌2,59.699,202201,12,"15,500",3,2002,늘품로 38,,중개거래,강원 원주시
강원도 원주시 단구동,1682-3,1682,3,현진에버빌6차,84.977,202201,8,"27,000",4,2006,단구로 411,,중개거래,강원 원주시
